settlement_id,payment_id,order_id,merchant_id,gross_amount,mdr_fee,gst_on_mdr,tds_amount,refund_amount,net_amount,settlement_date
stl_WRRNRUKS,pay_UIPEHGTYGN,ORD1032,MERCH_FRESHCART,501.65,10.03,1.81,5.02,0.0,480.83,2026-07-21
stl_FASHZMTX,pay_KYEKFINMDB,ORD1029,MERCH_GADGETBAY,7138.7,142.77,25.7,71.39,0.0,6898.84,2026-07-09
stl_OVNRHIDJ,pay_KAKXUJQZHI,ORD1043,MERCH_URBANKART,4340.96,86.82,15.63,43.41,0.0,4195.1,2026-07-23
stl_UMNXMGIP,pay_LIOVOZWLUM,ORD1022,MERCH_GADGETBAY,3691.44,73.83,13.29,36.91,0.0,3567.41,2026-07-25
stl_VYSGNTKQ,pay_MVTPCGJYNG,ORD1049,MERCH_URBANKART,3961.54,79.23,14.26,39.62,0.0,2584.99,2026-07-09
stl_FEBOSHFX,pay_CDIFHWGBTM,ORD1011,MERCH_FRESHCART,4997.14,99.94,17.99,49.97,0.0,4829.24,2026-07-17
stl_VQYZJXJP,pay_ZHCZNXXNCB,ORD1034,MERCH_URBANKART,3985.43,79.71,14.35,39.85,0.0,3848.61,2026-07-21
stl_AYOHFRUT,pay_CTERKHCERN,ORD1013,MERCH_URBANKART,5942.48,118.85,21.39,59.42,0.0,5742.82,2026-07-18
stl_NYBHSRDE,pay_AJPVKOYRKU,ORD1040,MERCH_FRESHCART,5292.59,105.85,19.05,52.93,0.0,5114.76,2026-07-14
stl_GTBYMAMR,pay_THGESDFVLI,ORD1044,MERCH_URBANKART,2933.72,58.67,10.56,29.34,0.0,2835.15,2026-07-11
stl_CHZIZKHF,pay_MAIHGAMYBI,ORD1019,MERCH_GADGETBAY,1416.33,28.33,5.1,14.16,0.0,1368.74,2026-07-12
stl_TNCAWQWA,pay_ZVRIFFIZUE,ORD1039,MERCH_STYLEHIVE,1374.27,27.49,4.95,13.74,0.0,1328.09,2026-07-24
stl_XJSYEVAN,pay_BAXEVBGIPN,ORD1048,MERCH_URBANKART,3598.77,71.98,12.96,35.99,0.0,1974.75,2026-07-22
stl_XDUCLMHO,pay_NAHEDCMPMB,ORD1002,MERCH_STYLEHIVE,3888.74,77.77,14.0,38.89,0.0,3758.08,2026-07-21
stl_REWFRKJP,pay_ARQBBNCGOI,ORD1033,MERCH_GADGETBAY,3992.66,79.85,14.37,39.93,0.0,3857.93,2026-07-08
stl_MTDKCLUJ,pay_JVDHVCAPAH,ORD1064,MERCH_URBANKART,1914.97,38.3,6.89,19.15,0.0,1850.63,2026-07-18
stl_MTDKCLUJ,pay_CRTWUNOSQH,ORD1065,MERCH_URBANKART,1983.05,39.66,7.14,19.83,0.0,1916.42,2026-07-18
stl_ORXWISHG,pay_QLTAWEITCL,ORD1015,MERCH_URBANKART,3957.62,79.15,14.25,39.58,0.0,3824.64,2026-07-20
stl_VZDLUUEZ,pay_LCOKAWRYDU,ORD1030,MERCH_GADGETBAY,5579.79,111.6,20.09,55.8,0.0,5392.3,2026-07-07
stl_ZGSYEBRA,pay_UWOGSBEKXG,ORD1003,MERCH_GADGETBAY,1884.95,37.7,6.79,18.85,0.0,1821.61,2026-07-19
stl_MTDKCLUJ,pay_MYDDUADXSN,ORD1063,MERCH_URBANKART,1394.07,27.88,5.02,13.94,0.0,1347.23,2026-07-18
