order_id,merchant_id,invoice_amount,expected_settlement_amount,recorded_date,status
ORD1053,MERCH_STYLEHIVE,4941.59,4775.55,2026-07-19,OPEN
ORD1042,MERCH_STYLEHIVE,1539.92,1488.18,2026-07-21,OPEN
ORD1004,MERCH_URBANKART,5224.12,5048.59,2026-07-06,OPEN
ORD1006,MERCH_URBANKART,4540.2,4387.66,2026-07-23,OPEN
ORD1027,MERCH_URBANKART,3217.49,3141.56,2026-07-04,OPEN
ORD1018,MERCH_GADGETBAY,5286.71,5233.84,2026-07-04,OPEN
ORD1005,MERCH_URBANKART,3849.45,3720.11,2026-07-05,OPEN
ORD1076,MERCH_GADGETBAY,1748.61,1689.86,2026-07-15,OPEN
ORD1023,MERCH_STYLEHIVE,4778.12,4665.36,2026-07-19,OPEN
ORD1054,MERCH_FRESHCART,4539.25,4386.74,2026-07-16,OPEN
ORD1047,MERCH_STYLEHIVE,4054.05,3917.84,2026-07-03,OPEN
ORD1009,MERCH_URBANKART,5173.46,4999.64,2026-07-17,OPEN
ORD1071,MERCH_URBANKART,1409.93,1362.55,2026-07-03,OPEN
ORD1052,MERCH_FRESHCART,1553.15,1500.97,2026-07-15,OPEN
ORD1038,MERCH_GADGETBAY,782.2,755.92,2026-07-12,OPEN
ORD1074,MERCH_GADGETBAY,1602.82,1548.96,2026-07-15,OPEN
ORD1025,MERCH_URBANKART,1784.3,1742.19,2026-07-11,OPEN
ORD1014,MERCH_FRESHCART,6130.82,6069.51,2026-07-15,OPEN
ORD1068,MERCH_URBANKART,2982.64,2882.42,2026-07-03,OPEN
ORD1028,MERCH_STYLEHIVE,1539.04,1502.72,2026-07-16,OPEN
ORD1041,MERCH_STYLEHIVE,5514.65,5329.36,2026-07-20,OPEN
ORD1062,MERCH_URBANKART,2024.9,1956.86,2026-07-16,OPEN
ORD1017,MERCH_URBANKART,4859.52,4810.92,2026-07-01,OPEN
ORD1056,MERCH_FRESHCART,3670.06,3546.75,2026-07-10,OPEN
ORD1026,MERCH_STYLEHIVE,9676.69,9448.32,2026-07-04,OPEN
ORD1021,MERCH_GADGETBAY,2314.76,2291.61,2026-07-02,OPEN
ORD1016,MERCH_STYLEHIVE,6516.38,6451.22,2026-07-11,OPEN
ORD1032,MERCH_FRESHCART,501.65,484.79,2026-07-19,OPEN
ORD1029,MERCH_GADGETBAY,7138.7,6970.23,2026-07-07,OPEN
ORD1043,MERCH_URBANKART,4340.96,4195.1,2026-07-13,OPEN
ORD1022,MERCH_GADGETBAY,3691.44,3654.53,2026-07-23,OPEN
ORD1049,MERCH_URBANKART,3961.54,3828.43,2026-07-07,OPEN
ORD1011,MERCH_FRESHCART,4997.14,4829.24,2026-07-15,OPEN
ORD1034,MERCH_URBANKART,3985.43,3851.52,2026-07-19,OPEN
ORD1013,MERCH_URBANKART,5942.48,5883.06,2026-07-16,OPEN
ORD1040,MERCH_FRESHCART,5292.59,5114.76,2026-07-06,OPEN
ORD1044,MERCH_URBANKART,2933.72,2835.15,2026-07-04,OPEN
ORD1019,MERCH_GADGETBAY,1416.33,1402.17,2026-07-10,OPEN
ORD1039,MERCH_STYLEHIVE,1374.27,1328.09,2026-07-19,OPEN
ORD1048,MERCH_URBANKART,3598.77,3477.84,2026-07-20,OPEN
ORD1002,MERCH_STYLEHIVE,3888.74,3758.08,2026-07-19,OPEN
ORD1033,MERCH_GADGETBAY,3992.66,3858.51,2026-07-06,OPEN
ORD1064,MERCH_URBANKART,1914.97,1850.63,2026-07-16,OPEN
ORD1065,MERCH_URBANKART,1983.05,1916.42,2026-07-16,OPEN
ORD1015,MERCH_URBANKART,3957.62,3918.04,2026-07-18,OPEN
ORD1030,MERCH_GADGETBAY,5579.79,5448.1,2026-07-05,OPEN
ORD1003,MERCH_GADGETBAY,1884.95,1821.61,2026-07-17,OPEN
ORD1063,MERCH_URBANKART,1394.07,1347.23,2026-07-16,OPEN
